Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
Burger King,4.1,"Burger, Fast Food, Beverages",₹350 for two,Jalandhar,"Shastri Nagar, Jalandhar",31.3165963344,75.5770332366
Pirates Of Grill,4.6,"North Indian, BBQ, Chinese, Asian, Mughlai, Salad, Oriental, Desserts","₹1,700 for two",Jalandhar,"Shastri Nagar, Jalandhar",31.3173401881,75.5765387043
Pizza Hut,3.3,"Pizza, Fast Food, Desserts, Beverages",₹600 for two,Jalandhar,"GT Road, Jalandhar",31.3453363000,75.5859347300
The Flamingo,4.0,"North Indian, Chinese, Mughlai, Fast Food, Desserts, Beverages","₹1,200 for two",Jodhpur,"Ratanada, Jodhpur",26.2703868091,73.0375143886
The Blackbird Cafe,3.4,"Pizza, Burger, Sandwich, Pasta",₹300 for two,Jodhpur,"Basni, Jodhpur",26.2106397582,73.0295676738
Punjabi Chic Inn,4.3,"Mughlai, North Indian, Chinese, Fast Food",₹400 for two,Jodhpur,"Shastri Nagar, Jodhpur",26.2709589394,73.0052289739
Fomo,3.1,"North Indian, Chinese, Italian, Fast Food, Burger, Pizza, Desserts, Beverages","₹1,100 for two",Jodhpur,"Sardarpura, Jodhpur",26.2668198755,73.0145734549
La Pino'z Pizza,4.0,"Pizza, Pasta, Italian, Fast Food, Burger, Beverages",₹600 for two,Jodhpur,"Sardarpura, Jodhpur",26.2759534599,73.0064426735
The Selfieccino,-,"Cafe, Coffee, Chinese, Sandwich, Pizza, Fast Food, Tea",₹600 for two,Jodhpur,"Chopasni Housing Board, Jodhpur",26.2607496000,72.9707484000
Khaas Bagh,4.9,"North Indian, Mughlai, Rajasthani, Shake","₹1,750 for two",Jodhpur,"Ratanada, Jodhpur",26.2827101000,73.0299229000
Hola,3.9,"North Indian, Biryani, Chinese, Fast Food, Continental, Beverages, Shake, Coffee","₹1,300 for two",Jodhpur,"Shastri Nagar, Jodhpur",26.2583614000,73.0113629000
Kava Grill And Lounge - Fairfield By Marriott,4.4,"North Indian, Chinese, Pasta, Italian, Continental, South Indian, Desserts, Beverages","₹2,000 for two",Jodhpur,"Fairfield By Marriott, Sangria, Jodhpur",26.2173580000,73.0444610000
Hoy Punjab,4.3,"North Indian, Street Food, Oriental, Biryani, Desserts, Beverages","₹1,400 for two",Kochi,"Kacheripady, Kochi",9.9871100000,76.2852500000
Chinese Wok,3.9,Chinese,₹300 for two,Kochi,"Palarivattom, Kochi",10.0116160000,76.3225660000
District 7 Encore,3.9,"Continental, Asian, Seafood, Chinese, Burger, Fast Food","₹1,800 for two",Kochi,"Elamkulam, Kochi",9.9760809420,76.3001809871
KFC,3.4,"Burger, Fast Food, Desserts, Beverages",₹450 for two,Kochi,"Gold Souk Grandé, Vytilla, Kochi",9.9782234000,76.3170848000
Flamin' Hot Chicken,3.7,"Fast Food, Beverages",₹300 for two,Kochi,"Edappally, Kochi",10.0135700000,76.3100100000
Spice It - ibis Kochi City Centre,4.4,"Continental, North Indian, Healthy Food, Wraps, Fast Food, Desserts, Beverages","₹1,600 for two",Kochi,"ibis Kochi City Centre, MG Road, Kochi",9.9810221000,76.2828411000
Domino's Pizza,3.5,"Pizza, Italian, Fast Food, Desserts",₹500 for two,Kochi,"Vyttila, Kochi",9.9639693467,76.3182207942
Deli KC - Holiday Inn,3.6,"Cafe, Continental, Fast Food, Beverages, Desserts","₹1,100 for two",Kochi,"Holiday Inn Cochin, Vennala, Kochi",9.9901950000,76.3160800000
District 7 Restro Cafe,4.1,"Continental, Cafe, Chinese, Beverages",₹700 for two,Kochi,"Vyttila, Kochi",9.9635306016,76.3181016678
Kebabs & Curries Company,4.6,"North Indian, Chinese, Mughlai, Beverages, Rolls, Biryani","₹1,000 for two",Kota,"Indraprastha Industrial Area, Kota",25.1364566004,75.8541657776
Anand Shekhawati Dhaba,4.0,"North Indian, Chinese",₹200 for two,Kota,"Indraprastha Industrial Area, Kota",25.1285418658,75.8531226356
